ID;imdbID;Title;Year;Type;Poster;Plot;Director;Actors;Genre;Runtime;Rated;Released;imdbRating;searchTerms
bdf074b6-aac8-4334-b924-a5723e15fd29;tt0114709;Toy Story;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BMDU2ZWJlMjktMTRhMy00ZTA5LWEzNDgtYmNmZTEwZTViZWJkXkEyXkFqcGdeQXVyNDQ2OTk4MzI@..jpg;A 1995 children, comedy, crime film starring various actors.;Unknown;Unknown;Children, Comedy, Crime;90 min;PG;01 Jan 1995;7.0;toy story 1995 children, comedy, crime
8d0e8344-75a8-4e08-95cb-65bf85202132;tt0113189;GoldenEye;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BMzk2OTg4MTk1NF5BMl5BanBnXkFtZTcwNjExNTgzNA@@..jpg;A 1995 adventure, animation, war film starring various actors.;Unknown;Unknown;Adventure, Animation, War;90 min;PG;01 Jan 1995;7.0;goldeneye 1995 adventure, animation, war
605f1a28-b71a-4537-b1e0-b98a2375123a;tt0113101;Four Rooms;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BNDc3Y2YwMjUtYzlkMi00MTljLTg1ZGMtYzUwODljZTI1OTZjXkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg;A 1995 war film starring various actors.;Unknown;Unknown;War;90 min;PG;01 Jan 1995;7.0;four rooms 1995 war
dfff7415-551a-4d6c-bb95-a8ddaa2c8787;tt0113161;Get Shorty;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BMjAwODYzNDY4Ml5BMl5BanBnXkFtZTcwODkwNTgzNA@@..jpg;A 1995 adventure, crime, fantasy film starring various actors.;Unknown;Unknown;Adventure, Crime, Fantasy;90 min;PG;01 Jan 1995;7.0;get shorty 1995 adventure, crime, fantasy
7ead18fe-e06b-4d53-a4d4-cbb55fcc5c13;tt0112722;Copycat;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BYWUwNDk2ZDYtNmFkMi00NjE5LWE1M2ItYTRkNTFjZDU3ZDU4L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyMTYxNjkxOQ@@..jpg;A 1995 documentary, fantasy, war film starring various actors.;Unknown;Unknown;Documentary, Fantasy, War;90 min;PG;01 Jan 1995;7.0;copycat 1995 documentary, fantasy, war
f69d47d8-fbbf-4370-b173-cd221635eba3;tt0000006;Shanghai Triad (Yao a yao yao dao waipo qiao);1995;movie;;A 1995 fantasy film starring various actors.;Unknown;Unknown;Fantasy;90 min;PG;01 Jan 1995;7.0;shanghai triad (yao a yao yao dao waipo qiao) 1995 fantasy
722cbef6-2238-41a3-8263-a9cfa86cfb4b;tt0114746;Twelve Monkeys;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BN2Y2OWU4MWMtNmIyMy00YzMyLWI0Y2ItMTcyZDc3MTdmZDU4XkEyXkFqcGdeQXVyMTQxNzMzNDI@..jpg;A 1995 fantasy, thriller film starring various actors.;Unknown;Unknown;Fantasy, Thriller;90 min;PG;01 Jan 1995;7.0;twelve monkeys 1995 fantasy, thriller
12b3247b-01ff-40e7-bb12-0d8d1adb976d;tt0112431;Babe;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BYjg4ZjUzMzMtYzlmYi00YTcwLTlkOWUtYWFmY2RhNjliODQzXkEyXkFqcGdeQXVyNTUyMzE4Mzg@..jpg;A 1995 comedy, crime, fantasy film starring various actors.;Unknown;Unknown;Comedy, Crime, Fantasy;90 min;PG;01 Jan 1995;7.0;babe 1995 comedy, crime, fantasy
7b6c93a6-752d-42af-b771-f4891d09ba43;tt0112818;Dead Man Walking;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3NzA1MjM2N15BMl5BanBnXkFtZTcwMzY3MTMzNA@@..jpg;A 1995 fantasy film starring various actors.;Unknown;Unknown;Fantasy;90 min;PG;01 Jan 1995;7.0;dead man walking 1995 fantasy
c02d94b2-6a1f-4121-962d-524cbef30c06;tt0114279;Richard III;1995;movie;https://images-na.ssl-images-amazon.com/images/M/MV5BMTI3MzMwMzIxMF5BMl5BanBnXkFtZTYwNTM0Nzc5..jpg;A 1995 fantasy, western film starring various actors.;Unknown;Unknown;Fantasy, Western;90 min;PG;01 Jan 1995;7.0;richard iii 1995 fantasy, western
